"Subject" "Activity" "TimeBodyAccelerometerMean()-X" "TimeBodyAccelerometerMean()-Y" "TimeBodyAccelerometerMean()-Z" "TimeBodyAccelerometerSTD()-X" "TimeBodyAccelerometerSTD()-Y" "TimeBodyAccelerometerSTD()-Z" "TimeGravityAccelerometerMean()-X" "TimeGravityAccelerometerMean()-Y" "TimeGravityAccelerometerMean()-Z" "TimeGravityAccelerometerSTD()-X" "TimeGravityAccelerometerSTD()-Y" "TimeGravityAccelerometerSTD()-Z" "TimeBodyAccelerometerJerkMean()-X" "TimeBodyAccelerometerJerkMean()-Y" "TimeBodyAccelerometerJerkMean()-Z" "TimeBodyAccelerometerJerkSTD()-X" "TimeBodyAccelerometerJerkSTD()-Y" "TimeBodyAccelerometerJerkSTD()-Z" "TimeBodyGyroscopeMean()-X" "TimeBodyGyroscopeMean()-Y" "TimeBodyGyroscopeMean()-Z" "TimeBodyGyroscopeSTD()-X" "TimeBodyGyroscopeSTD()-Y" "TimeBodyGyroscopeSTD()-Z" "TimeBodyGyroscopeJerkMean()-X" "TimeBodyGyroscopeJerkMean()-Y" "TimeBodyGyroscopeJerkMean()-Z" "TimeBodyGyroscopeJerkSTD()-X" "TimeBodyGyroscopeJerkSTD()-Y" "TimeBodyGyroscopeJerkSTD()-Z" "TimeBodyAccelerometerMagnitudeMean()" "TimeBodyAccelerometerMagnitudeSTD()" "TimeGravityAccelerometerMagnitudeMean()" "TimeGravityAccelerometerMagnitudeSTD()" "TimeBodyAccelerometerJerkMagnitudeMean()" "TimeBodyAccelerometerJerkMagnitudeSTD()" "TimeBodyGyroscopeMagnitudeMean()" "TimeBodyGyroscopeMagnitudeSTD()" "TimeBodyGyroscopeJerkMagnitudeMean()" "TimeBodyGyroscopeJerkMagnitudeSTD()" "FrequencyBodyAccelerometerMean()-X" "FrequencyBodyAccelerometerMean()-Y" "FrequencyBodyAccelerometerMean()-Z" "FrequencyBodyAccelerometerSTD()-X" "FrequencyBodyAccelerometerSTD()-Y" "FrequencyBodyAccelerometerSTD()-Z" "FrequencyBodyAccelerometerMeanFreq()-X" "FrequencyBodyAccelerometerMeanFreq()-Y" "FrequencyBodyAccelerometerMeanFreq()-Z" "FrequencyBodyAccelerometerJerkMean()-X" "FrequencyBodyAccelerometerJerkMean()-Y" "FrequencyBodyAccelerometerJerkMean()-Z" "FrequencyBodyAccelerometerJerkSTD()-X" "FrequencyBodyAccelerometerJerkSTD()-Y" "FrequencyBodyAccelerometerJerkSTD()-Z" "FrequencyBodyAccelerometerJerkMeanFreq()-X" "FrequencyBodyAccelerometerJerkMeanFreq()-Y" "FrequencyBodyAccelerometerJerkMeanFreq()-Z" "FrequencyBodyGyroscopeMean()-X" "FrequencyBodyGyroscopeMean()-Y" "FrequencyBodyGyroscopeMean()-Z" "FrequencyBodyGyroscopeSTD()-X" "FrequencyBodyGyroscopeSTD()-Y" "FrequencyBodyGyroscopeSTD()-Z" "FrequencyBodyGyroscopeMeanFreq()-X" "FrequencyBodyGyroscopeMeanFreq()-Y" "FrequencyBodyGyroscopeMeanFreq()-Z" "FrequencyBodyAccelerometerMagnitudeMean()" "FrequencyBodyAccelerometerMagnitudeSTD()" "FrequencyBodyAccelerometerMagnitudeMeanFreq()" "FrequencyBodyAccelerometerJerkMagnitudeMean()" "FrequencyBodyAccelerometerJerkMagnitudeSTD()" "FrequencyBodyAccelerometerJerkMagnitudeMeanFreq()" "FrequencyBodyGyroscopeMagnitudeMean()" "FrequencyBodyGyroscopeMagnitudeSTD()" "FrequencyBodyGyroscopeMagnitudeMeanFreq()" "FrequencyBodyGyroscopeJerkMagnitudeMean()" "FrequencyBodyGyroscopeJerkMagnitudeSTD()" "FrequencyBodyGyroscopeJerkMagnitudeMeanFreq()" "Angle(TimeBodyAccelerometerMean,Gravity)" "Angle(TimeBodyAccelerometerJerkMean),GravityMean)" "Angle(TimeBodyGyroscopeMean,GravityMean)" "Angle(TimeBodyGyroscopeJerkMean,GravityMean)" "Angle(X,GravityMean)" "Angle(Y,GravityMean)" "Angle(Z,GravityMean)"
"1" "LAYING" 0.272391399648148 -0.00979330290185185 -0.107003779148148 -0.538276011824074 -0.3601051529 -0.5001879348 0.740190642759259 -0.0868099836851852 0.0657718425833333 -0.957831090185185 -0.949113180185185 -0.932126515925926 0.0816176218518519 0.0119305463092593 -0.0315343382464444 -0.511912172268518 -0.465682759111111 -0.708618457407407 -0.00555537026666666 -0.118959192944444 0.0567873010203704 -0.675183541296296 -0.440868290307407 -0.587526401740741 -0.116873672074074 -0.0419017133018518 -0.0231880795012963 -0.639317009351852 -0.621976549314815 -0.659360130185185 -0.448376688203704 -0.501167720962963 -0.448376688203704 -0.501167720962963 -0.534856141833333 -0.506961804094444 -0.456180965318519 -0.490142367211111 -0.629166843888889 -0.647799620407407 -0.517060550974074 -0.401928628762963 -0.588941084111111 -0.548352161074074 -0.381693246155556 -0.499201666407407 -0.17254964643037 0.0619940629555556 0.0674675851277778 -0.534174127425926 -0.504669150733333 -0.688338105740741 -0.532445992318519 -0.460075763955556 -0.727240400185185 -0.06105587275 -0.218064288598148 -0.094041862012963 -0.62628469462963 -0.487675784696296 -0.543353823425926 -0.693227883888889 -0.423918697685185 -0.641638622407407 -0.0406015815 -0.0997946402222222 -0.0260132054351852 -0.474739010555556 -0.597365788111111 0.161683263907407 -0.488383663314815 -0.53516270082037 0.196383971555556 -0.528196888259259 -0.556651871074074 0.0597517120425926 -0.639422890105556 -0.685016470740741 0.172585859074074 0.0323686688203704 -0.0794151739592593 -0.0665335924777778 0.0676677386203704 -0.533122332222222 0.125456435992593 -0.0347412039074074
"1" "SITTING" 0.260200414637931 -0.0223099831294828 -0.113898755818966 -0.533042946431034 -0.347057726931034 -0.485994506415517 0.755805086051724 -0.0869012029310345 0.0694211676637931 -0.965192957586207 -0.947316078103448 -0.907259552241379 0.0953858408275862 0.00258163729655172 -0.00879703924508621 -0.518777545655172 -0.461003224075862 -0.714013025586207 -0.0421722899086207 -0.058613491137931 0.0986502557689655 -0.673286293965517 -0.438679888872414 -0.586900384689655 -0.0642097387931034 -0.0515558183275862 -0.0612810606672414 -0.620228962137931 -0.630691923948276 -0.654865294655172 -0.434417902325862 -0.462069461413793 -0.434417902325862 -0.462069461413793 -0.538541639982759 -0.510266967131034 -0.460462799053448 -0.485456105672414 -0.633619465862069 -0.641560210068965 -0.521723323189655 -0.39084974938 -0.581517480344828 -0.539482074543103 -0.368829253922586 -0.482829495896552 -0.183330098265517 0.0585734699310345 0.0656528851313793 -0.543112981257069 -0.494502896667241 -0.688507509189655 -0.536787129277069 -0.461314697725862 -0.738205973965517 -0.070054468212069 -0.233621996877586 -0.103629950284483 -0.599487206741379 -0.49685288642931 -0.545984353801724 -0.698113585172414 -0.416387406017241 -0.639569834827586 -0.0466862887431034 -0.0979727798448276 -0.0328545610862069 -0.459303560310345 -0.552660293544828 0.142706852741379 -0.491718899815517 -0.539272982281034 0.183350568072414 -0.52294379937069 -0.553507376017241 0.0627795930846552 -0.637122008672414 -0.674159759189655 0.181835669937931 0.0675659485484483 -0.0150819365517241 -0.0092072919137931 -0.0857718249275862 -0.541545248275862 0.125155402096552 -0.0360887731896552
"1" "STANDING" 0.256642652086207 -0.0135730592448276 -0.107335349586207 -0.539285555477586 -0.370508745477586 -0.482382078258621 0.750549874086207 -0.0886387570689655 0.0666735040793103 -0.955952843793103 -0.960593696896552 -0.921767495534483 0.103092153996552 0.0226871602482759 -0.0191268331589655 -0.517691982831034 -0.471018201741379 -0.709406985862069 -0.0251006456596552 -0.0886736563672414 0.0982927698241379 -0.685332662068965 -0.435281713887931 -0.585321628068965 -0.081120518637931 -0.0412158314637931 -0.0619334599965517 -0.627390949758621 -0.633412570862069 -0.662527617758621 -0.447973741653448 -0.481709331025862 -0.447973741653448 -0.481709331025862 -0.540338207034483 -0.508666317758621 -0.475978240865517 -0.480814993551724 -0.637500227482759 -0.646503649396552 -0.529364924603448 -0.399929206339655 -0.585373355189655 -0.545477262544828 -0.397173706715862 -0.476516355205172 -0.192711052222414 0.0722631704844828 0.0410213858834483 -0.540080814051724 -0.503676503712776 -0.684368104948276 -0.537832048724138 -0.471515275298276 -0.732962965344828 -0.0377113533465517 -0.21100074812069 -0.0834007721896552 -0.624227791724138 -0.499011891137931 -0.550162022624138 -0.706099469827586 -0.409622826248276 -0.63620544137931 -0.0539027090810345 -0.0801975685241379 -0.033873014037931 -0.468676463677586 -0.574350621758621 0.133337983068966 -0.488809867637931 -0.538593062068966 0.221322335789655 -0.523766673581034 -0.545989408965517 0.0717776277798276 -0.640234906637931 -0.680892239844828 0.213913858224138 0.063618470387931 -0.0162624105775862 0.0302119359327586 -0.0427979428241379 -0.539439690172414 0.12656689767931 -0.0345528774137931
"1" "WALKING" 0.2773184345 -0.00895660030416667 -0.115477939283333 -0.551662459115483 -0.386875535188333 -0.511326389066667 0.736558536683333 -0.0735930857666667 0.0761706885733333 -0.9631974475 -0.9424369505 -0.928683636333333 0.0717624907783333 0.0256121284406667 -0.0153147106541667 -0.533122631785 -0.492556435816667 -0.722123651833333 -0.0354924972625 -0.0853235129833333 0.0947045037558333 -0.711807621016667 -0.4627849171925 -0.608086799116667 -0.139089001686667 -0.02555102241 -0.0339838107633333 -0.650420502333333 -0.638127703266667 -0.669526782765 -0.464882330575 -0.507390634118333 -0.464882330575 -0.507390634118333 -0.557403854266667 -0.5263189462 -0.489308289566667 -0.525807074266667 -0.645414447333333 -0.655956652333333 -0.538828185216667 -0.424609741958333 -0.608991206833333 -0.558157833351667 -0.408702359433333 -0.504551249545 -0.16626861388 0.0449928583633333 0.0220329746166667 -0.555765165333333 -0.529447581228333 -0.7018426075 -0.551747452116667 -0.486897671421333 -0.740933402 -0.0295529391783333 -0.237513891133333 -0.119953984756667 -0.647201686833333 -0.5149515696 -0.56041617655 -0.73410790255 -0.442286831868333 -0.661574159883333 -0.00638253592733333 -0.0964307967983333 -0.03101037215 -0.488837232083333 -0.597582165666667 0.127670546533333 -0.510647863185 -0.5514961969 0.163540676013833 -0.549019585116667 -0.596045725833333 0.0627739261326667 -0.651148313266667 -0.687536167833333 0.1657771186185 0.0289778224783333 0.0323202861583333 0.0485978708333333 0.107507923016667 -0.532338313166667 0.116272108743333 -0.0415886272
"1" "WALKING_DOWNSTAIRS" 0.264121056551724 -0.030824614062069 -0.0946103426551724 -0.550359113565517 -0.362145758186207 -0.5214522892 0.750016664241379 -0.0921546071724138 0.0794635654793103 -0.959370275862069 -0.945842514965517 -0.931524635862069 0.0470584159551724 0.0142392382344828 0.00768668083327586 -0.526466131310345 -0.458753204677586 -0.723765098448276 0.0128014836448276 -0.105049018413793 0.0713829683637931 -0.668466074706897 -0.459500557967241 -0.607214091394828 -0.0912102352539655 -0.0562065712310345 -0.0415145253568966 -0.641204887534483 -0.637261245051724 -0.667588604137931 -0.453999502706897 -0.515201146839655 -0.453999502706897 -0.515201146839655 -0.544246226691379 -0.517988336327586 -0.474899972603448 -0.509647683231034 -0.640769512810345 -0.660112125258621 -0.536867994896552 -0.403843802191379 -0.609898142241379 -0.557236359706897 -0.383238565282759 -0.517648151551724 -0.186909354655172 0.0469659848810345 0.081609514337931 -0.547391794843103 -0.499950662003448 -0.701362472931034 -0.547053309639655 -0.450400600117241 -0.744838410517241 -0.0463216746724138 -0.223210050946552 -0.0762761144517241 -0.600340922944828 -0.50758754662069 -0.56197493162069 -0.691528641482759 -0.441805941813793 -0.659578635344828 -0.010267247537931 -0.0518054759586207 0.0166306370553448 -0.485422875637931 -0.610440915637931 0.159896524907414 -0.501916181758621 -0.542297779963793 0.220486746683276 -0.540777758086207 -0.576638689051724 0.0872445146510345 -0.654239104724138 -0.693230650862069 0.23478322113931 0.029799766837931 0.0585154295 -0.0946584993103448 0.0435352381155172 -0.538943883448276 0.131787410622414 -0.0458170330172414
"1" "WALKING_UPSTAIRS" 0.263604587135593 -0.0239692782262712 -0.108417143542373 -0.561160103186441 -0.378237423432203 -0.513868941515254 0.736197130372881 -0.0680917349152542 0.0758921432576271 -0.957399424915254 -0.961581460169492 -0.93374332779661 0.0643572089661017 0.0217725346457627 0.010765444443339 -0.538942775259322 -0.472337632350847 -0.725106393220339 -0.0280547286474576 -0.074277523540678 0.0952876898474576 -0.703314116966102 -0.467376376491525 -0.608681894677966 -0.0902034555288136 -0.0345614943322034 -0.0595237574237288 -0.647810431355932 -0.644207798101695 -0.673007361627119 -0.471095999703051 -0.514663051694915 -0.471095999703051 -0.514663051694915 -0.555881257576271 -0.524211252846441 -0.493481566879661 -0.505507412915254 -0.649544046779661 -0.659810707627119 -0.546020305338983 -0.41634322610678 -0.60268852 -0.568884692694915 -0.399877808401695 -0.510385011847458 -0.181507571582881 0.0616528301864407 0.0740415546440678 -0.562115061786441 -0.510808522101695 -0.706512733728814 -0.55672961561017 -0.466169609762712 -0.742079298644068 -0.0496023517898305 -0.16849594360678 -0.100351323830508 -0.640853188140678 -0.52390766558983 -0.558262250474576 -0.724298453559322 -0.443854343142373 -0.663080782830508 -0.035765196238983 -0.114733760972881 -0.00130950861016949 -0.492849642891525 -0.605840026101695 0.129149871610169 -0.511625322155254 -0.543297443089831 0.215978178638983 -0.544200624305085 -0.568886483830508 0.0453137089152542 -0.652907006186441 -0.693780592372881 0.218301615474576 0.00383412949152543 0.0661451427271186 0.00476922910169491 -0.0972586989898305 -0.529300341355932 0.112096267064407 -0.0412622518135593
"2" "LAYING" 0.283335875686274 -0.0199360735098039 -0.115160189019608 -0.610593249039216 -0.431846015882353 -0.59081049072549 0.661454014509804 -0.14933472395098 0.127054885147059 -0.969953702156863 -0.969433666862745 -0.957842871568627 0.0440314504784314 -0.0306237136786274 -0.0100288860052941 -0.567650283647059 -0.503383600841177 -0.741838312941176 -0.0618607813803922 -0.0415223826078431 0.0764408576862745 -0.714924864117647 -0.734341219803922 -0.635891411333333 -0.0926225588411765 -0.0472314815156863 -0.0657246987411765 -0.67154184345098 -0.789292735490196 -0.681670136862745 -0.540114189960784 -0.56327637445098 -0.540114189960784 -0.56327637445098 -0.594132397407843 -0.523054449843137 -0.61923998797451 -0.685244690392157 -0.751018996862745 -0.743059387352941 -0.584259139039216 -0.444455955254902 -0.631117691627451 -0.622465045482353 -0.462472639292157 -0.602112257137255 -0.108296386076471 0.0925963636607843 0.103713498966667 -0.574315563411765 -0.526428336352941 -0.715217343215686 -0.600584429705882 -0.512624741186275 -0.76752986627451 0.0720557462156863 -0.164963127152941 -0.100268883770588 -0.644167429470588 -0.729475206078431 -0.605420801747059 -0.738218837843137 -0.741053499215686 -0.682365218784314 -0.00788009219607843 -0.060851744245098 0.0332676832080392 -0.52816713395098 -0.653057171705882 0.181122534664706 -0.518412877372549 -0.531973126768627 0.214906488894118 -0.704891354509804 -0.727912004901961 0.0302075060333333 -0.754902948039216 -0.746422885352941 0.137626425907843 -0.142741832089 0.0629856595098039 0.122543882764706 -0.0493449804215686 -0.432738541764706 0.173839481352941 -0.0731704197176471
"2" "SITTING" 0.261735251764706 -0.0165300984490196 -0.116145033784314 -0.600619501529412 -0.439807090862745 -0.589295908588235 0.661992569215686 -0.148650779662353 0.138983528135294 -0.952127491764706 -0.961596506862745 -0.942920152941176 0.127324851294118 0.0127210523407843 0.0119174246156863 -0.549178735156863 -0.502236015813725 -0.741436647254902 -0.0383273691307843 -0.0854379998529412 0.125468900411765 -0.697300444529412 -0.716459386666667 -0.633597597098039 -0.0870222916470588 -0.0321127328980392 -0.0649025250568627 -0.660491428117647 -0.781737515294118 -0.671165921098039 -0.533438780360784 -0.553786825262745 -0.533438780360784 -0.553786825262745 -0.585982914176471 -0.513489912037255 -0.604411395722157 -0.670740841607843 -0.742617605490196 -0.733827076215686 -0.567763128439216 -0.442766241372549 -0.626318247935294 -0.614898996568627 -0.474988908647059 -0.602926806862745 -0.0990351004313725 0.112416739690196 0.0869624848111765 -0.553999868705882 -0.517182304784314 -0.715516217254902 -0.586162195352941 -0.520773473784314 -0.766249381372549 0.0927622512561961 -0.138466666392157 -0.107102016703922 -0.627962491547059 -0.720848605490196 -0.599730748770588 -0.720624347490196 -0.717487879803922 -0.681677287392157 -0.0218404653058824 -0.0919245625862745 0.0296714217019608 -0.515432714627451 -0.647056513843137 0.192691241894118 -0.511588867705882 -0.519649126823529 0.182017497066667 -0.692794593862745 -0.715981017058824 0.0488494122176471 -0.746268672882353 -0.737322481764706 0.127157505623529 0.0936879034705882 -0.0129803037156863 0.0218995683137255 0.0182480764333333 -0.438311903137255 0.173902714196078 -0.081878424254902
"2" "STANDING" 0.281310754431373 -0.0216308021423529 -0.109151024941176 -0.607812167845098 -0.433642410390196 -0.596370172015686 0.661318694901961 -0.150101439256275 0.134858279460784 -0.965870328823529 -0.960986569411765 -0.948797256470588 0.0989251558431373 0.00388281912941177 0.0283443242229412 -0.558164993721569 -0.510612744443137 -0.741627259607843 -0.0517867253805882 -0.0457725235372549 0.093730192927451 -0.716250291164706 -0.732222380980392 -0.630337311588235 -0.0915046628078431 -0.0433987455058824 -0.0726035119607843 -0.671020392960784 -0.788833808627451 -0.681584372078431 -0.538339948060784 -0.56042468954902 -0.538339948060784 -0.56042468954902 -0.590074174441176 -0.524633050588235 -0.618131232376471 -0.687773985921569 -0.74864297254902 -0.745293154235294 -0.574261667456863 -0.449020049966667 -0.635788662705882 -0.622769462117647 -0.462271393784314 -0.607674427921569 -0.107599365098039 0.0662279621803922 0.0675331249372549 -0.560567463568627 -0.528883104927451 -0.715010536509804 -0.597775119607843 -0.524612276803922 -0.767394305882353 0.094941137254902 -0.179823355972549 -0.0963475718431373 -0.644348195333333 -0.725150550392157 -0.599693329927451 -0.740071699588235 -0.739297314509804 -0.677897270176471 0.00474198168627451 -0.0595896977784314 0.039829174607451 -0.519273419627451 -0.65426173445098 0.185790362568627 -0.525913390037255 -0.5264670084 0.198541029015686 -0.706893274117647 -0.731269766470588 0.0424755880039216 -0.754296580392157 -0.751816745431373 0.155014876347059 -0.0246248365078431 -0.0104272949941176 0.0898344341882353 -0.0439815933580392 -0.43399097372549 0.174568224980392 -0.0788037321607843
"2" "WALKING" 0.26855963018 -0.019983611994 -0.11097617058 -0.59288758456 -0.418052114248 -0.59094425246 0.6605488902 -0.14996229907 0.133079635674 -0.9680548906 -0.9632657162 -0.9422687368 0.090095571299 0.01442411068 -0.0171417610556 -0.542684849852 -0.474938882382 -0.7464449268 -0.0391358654808 -0.06084931244 0.06242921078 -0.7221838034 -0.7204741184 -0.632440951012 -0.0927586754 -0.03065442394 -0.053486027082 -0.66982506172 -0.7809450416 -0.66130008422 -0.5248985678 -0.54249000788 -0.5248985678 -0.54249000788 -0.575010204224 -0.50096415011 -0.62541228274 -0.69968078108 -0.7398433432 -0.74129727526 -0.55957002932 -0.4189050535 -0.63240580446 -0.60761660208 -0.455688405858 -0.601226416224 -0.10835409103 0.13313938797 0.11436645649772 -0.54497325494 -0.49447227926 -0.71998258368 -0.58325203154 -0.48992018254 -0.7721643584 0.10138137636 -0.1368525593956 -0.085523303112 -0.640868809604 -0.719121334 -0.59353953366 -0.748947482 -0.7253456522 -0.6833366266 0.045286278366 -0.028606774346 0.100352001012 -0.505221783824 -0.637472152062 0.230714055268 -0.49267994872 -0.516345211992 0.198547622888 -0.70613338084 -0.749550264 0.08939508334 -0.7530897258 -0.7454243604 0.11275855504 0.056864719354 0.0118732455144 0.020449303434 -0.012210131676 -0.433335562 0.17415419434 -0.077987672488
